timeOfDay,websiteCategory,sessionDuration,previousDistractions,focusScore,distractionRisk
0,7,41,6,68,medium
3,0,102,9,75,high
2,3,9,7,34,high
1,3,56,6,42,high
1,6,97,5,95,medium
3,1,115,2,87,high
0,3,34,3,47,medium
2,1,80,8,31,high
0,6,27,0,37,low
0,5,18,0,58,medium
2,3,45,4,61,high
3,3,107,8,26,high
2,1,84,7,15,high
3,7,61,6,55,high
2,5,37,5,82,high
3,2,21,1,23,high
2,3,36,3,47,medium
0,5,22,0,24,medium
3,5,26,8,32,high
1,3,84,8,65,high
2,2,20,2,36,high
1,5,10,3,34,high
0,5,67,3,100,medium
3,4,38,9,25,high
3,0,57,5,27,high
2,3,21,8,94,high
1,4,29,4,60,high
3,7,56,7,13,high
2,4,85,5,48,high
1,2,53,3,61,medium
1,4,67,9,33,high
0,1,65,7,59,high
0,0,36,8,69,medium
2,5,37,10,32,high
3,7,54,2,83,medium
0,6,8,1,51,low
3,4,84,6,97,high
3,0,76,3,17,high
1,7,40,4,39,medium
2,3,48,2,75,high
0,2,43,4,91,low
3,7,80,4,30,high
2,5,93,3,99,high
1,5,17,8,27,high
0,2,52,6,47,medium
3,7,6,5,38,high
1,3,57,1,48,medium
3,4,33,6,92,high
2,6,43,1,76,medium
3,5,57,3,82,high
3,1,42,4,33,high
0,2,50,1,96,low
1,2,93,4,49,high
1,7,98,2,69,low
1,5,5,9,73,high
0,2,48,9,70,high
2,5,103,0,64,high
0,5,66,6,53,high
2,3,28,7,68,high
2,3,73,4,92,high
3,7,21,5,45,high
2,4,7,8,56,high
1,1,78,4,26,high
3,5,64,0,42,high
1,4,92,4,80,medium
1,4,45,2,68,medium
3,5,104,4,29,high
1,7,53,2,59,low
0,2,90,1,83,low
1,3,16,10,21,high
3,1,16,1,15,high
0,5,95,7,45,high
1,3,101,7,69,high
0,2,114,6,38,high
2,5,42,10,84,high
1,3,7,0,87,medium
1,3,118,3,58,medium
0,3,74,2,44,medium
2,2,33,6,13,high
2,1,93,6,84,high
3,6,109,9,91,high
1,0,38,4,50,high
0,2,94,2,56,medium
3,5,96,10,78,high
2,1,63,7,73,high
2,5,78,8,22,high
0,5,36,4,71,medium
1,5,112,4,94,medium
3,2,119,4,78,high
3,0,118,8,53,high
1,7,90,2,57,medium
3,2,9,10,33,high
3,6,47,1,70,medium
1,1,56,5,31,high
3,1,116,3,41,high
1,6,68,7,34,high
0,7,67,7,40,high
2,6,22,10,43,high
2,6,97,8,17,high
0,1,44,2,75,medium
3,7,15,2,50,medium
0,5,119,9,96,medium
3,1,27,5,26,high
0,1,6,1,70,medium
3,6,14,9,26,high
3,2,57,7,59,high
3,6,16,0,54,medium
2,1,102,8,50,high
1,2,64,6,69,medium
2,2,42,6,85,high
1,2,5,9,38,high
3,5,60,5,87,high
2,7,22,5,26,high
1,7,118,6,36,high
2,5,38,2,38,high
2,1,60,1,96,high
0,7,7,9,20,high
0,4,20,2,45,high
0,4,29,5,48,high
0,5,10,2,82,high
1,6,89,2,54,low
2,7,114,6,97,high
2,4,119,8,77,high
1,4,35,4,74,medium
3,5,96,1,78,medium
2,2,63,2,24,medium
0,2,10,1,50,medium
3,5,15,9,63,high
2,0,68,3,28,high
2,2,54,4,20,high
2,5,5,0,22,high
2,7,112,4,81,high
0,4,89,10,69,high
2,3,63,4,35,high
3,3,119,7,77,high
1,5,117,2,73,high
2,4,117,1,84,high
0,0,35,8,92,high
1,4,107,0,90,medium
1,3,63,4,26,high
3,5,89,3,80,high
0,7,104,0,45,low
1,7,23,5,46,medium
1,4,56,10,68,high
3,2,19,0,64,high
3,3,37,8,48,high
0,1,52,5,100,medium
0,7,104,7,25,high
3,6,105,1,18,medium
0,6,50,9,12,high
3,2,43,0,84,medium
1,2,66,9,47,high
3,6,110,7,49,high
1,4,118,3,69,high
1,5,31,0,49,high
2,3,26,6,62,high
0,3,86,0,15,medium
2,5,39,6,24,high
2,6,28,8,94,high
3,2,8,2,51,high
3,6,51,2,25,medium
2,1,50,2,43,high
1,3,70,2,40,high
1,7,28,1,34,medium
1,7,87,2,36,medium
3,7,83,7,76,high
1,2,58,3,19,high
0,6,26,8,38,high
1,7,63,9,52,high
0,7,83,8,59,medium
0,0,48,5,90,high
0,5,35,3,94,medium
3,7,63,10,37,high
2,6,46,2,59,medium
2,1,51,5,12,high
1,6,45,4,66,low
2,0,40,8,23,high
0,3,88,6,16,high
3,5,58,8,71,high
2,3,59,10,26,high
3,5,80,4,53,high
0,1,46,9,19,high
1,4,16,1,77,medium
2,5,103,10,79,high
1,5,11,1,62,high
1,2,71,9,86,high
0,2,35,4,49,medium
1,2,29,10,26,high
0,3,9,1,23,medium
1,4,109,5,29,high
2,2,54,9,28,high
2,3,44,0,39,high
2,2,90,2,29,high
1,1,9,0,63,high
3,5,70,3,23,high
0,6,62,4,66,low
1,2,69,6,40,high
0,6,19,2,72,low
1,4,115,1,56,high
3,1,32,1,92,high
1,2,83,10,50,high
3,0,91,10,36,high
1,0,44,2,63,high
2,2,20,2,69,medium
1,3,39,0,49,medium
1,6,98,10,60,high
3,1,110,7,52,high
3,6,113,8,37,high
1,1,31,3,38,high
3,1,75,7,92,high
1,5,22,0,71,medium
2,6,87,7,18,high
3,4,53,6,97,high
1,0,87,3,74,high
2,0,84,7,14,high
1,3,120,7,76,medium
0,3,61,4,63,high
0,7,44,2,93,low
1,2,66,0,54,medium
3,1,23,10,57,high
0,7,17,3,38,low
1,1,65,3,39,medium
2,0,100,7,66,high
0,3,66,2,85,low
2,3,95,4,91,high
1,4,25,7,80,high
3,7,57,6,65,high
2,7,76,7,55,high
2,2,45,0,40,medium
0,7,6,4,79,low
1,5,13,5,38,high
3,0,112,6,34,high
0,7,75,1,88,low
3,1,35,1,63,high
1,4,35,8,42,high
2,6,9,7,88,high
2,1,114,8,97,high
1,2,17,2,38,high
1,3,93,10,57,high
2,7,32,3,54,medium
0,1,43,7,73,high
2,5,36,1,96,medium
0,3,100,10,59,high
2,0,8,3,82,high
2,5,45,8,64,high
0,6,37,3,90,low
3,4,36,8,46,high
1,1,27,4,45,high
3,1,110,0,48,high
0,3,48,2,100,low
0,4,53,7,65,medium
1,4,49,2,23,high
0,1,118,3,13,high
1,4,44,5,57,high
2,2,44,2,83,high
0,5,43,1,53,high
2,6,42,6,60,medium
0,5,15,7,82,high
0,0,75,8,56,high
2,7,7,10,92,high
3,0,31,1,68,high
0,7,28,4,76,low
1,0,38,2,81,medium
3,4,92,9,67,high
3,0,74,5,14,high
2,0,119,1,48,high
1,5,45,7,22,high
1,5,112,0,56,medium
2,0,10,3,23,high
2,7,63,7,56,high
1,2,97,5,41,high
0,2,66,8,11,high
0,2,113,6,21,high
3,3,41,9,55,high
1,1,8,6,17,high
1,3,94,0,87,medium
1,1,12,0,79,high
3,0,93,8,74,high
0,2,90,0,25,medium
0,5,102,4,82,medium
1,6,60,0,67,low
1,2,108,3,45,medium
2,2,24,6,10,high
1,6,55,1,58,medium
1,5,19,5,82,high
3,6,93,10,13,high
0,7,87,0,14,medium
2,6,98,0,44,medium
2,7,93,2,56,high
1,3,40,9,53,high
3,3,12,4,48,high
1,2,112,7,33,high
3,1,62,0,15,high
1,5,15,8,12,high
2,5,112,0,18,high
2,6,120,7,72,high
3,1,56,1,81,high
1,3,94,9,49,high
1,1,9,3,17,high
0,7,15,2,47,low
1,2,37,3,99,medium
3,1,81,0,32,high
0,4,20,1,54,medium
3,7,8,6,58,high
2,7,82,3,40,high
0,0,94,3,49,high
1,2,90,8,52,high
2,1,97,1,53,high
1,2,98,4,75,medium
0,4,74,2,62,high
2,2,65,5,14,high
2,0,104,3,10,high
0,4,45,0,47,medium
1,0,16,0,92,medium
0,1,92,9,13,high
2,0,37,0,16,high
2,0,118,8,71,high
2,3,53,10,51,high
3,6,103,5,30,high
3,6,9,3,28,high
1,0,81,8,70,high
0,0,56,10,57,high
2,2,58,1,68,high
3,5,35,10,35,high
3,5,117,10,57,high
0,6,50,1,88,low
0,2,103,0,38,high
0,1,54,7,46,high
0,0,10,0,24,medium
2,1,107,6,68,high
2,0,26,0,12,high
1,6,36,7,32,high
1,2,104,2,74,medium
3,6,108,1,11,high
1,4,111,0,100,medium
3,4,54,2,46,high
3,3,92,5,46,high
1,6,43,0,58,low
0,0,90,8,68,high
3,0,63,6,51,high
2,3,11,3,90,high
1,3,53,10,97,medium
2,4,59,7,28,high
2,5,34,7,74,high
3,4,48,1,37,high
1,2,63,7,100,medium
3,2,10,6,33,high
3,6,22,10,36,high
0,1,93,5,74,medium
0,4,45,7,81,medium
2,4,75,3,21,high
0,6,70,0,60,low
1,5,68,1,41,high
1,3,52,9,65,high
3,2,61,8,60,high
3,2,100,4,99,medium
0,3,116,7,94,medium
3,1,34,0,69,medium
0,5,82,0,71,medium
2,1,117,5,91,high
3,5,5,6,26,high
3,6,96,10,76,high
0,7,62,8,80,low
3,0,117,2,21,high
0,6,72,8,90,medium
2,0,102,5,73,high
1,2,24,9,41,high
1,1,21,1,54,medium
0,1,112,0,54,medium
3,1,66,0,93,high
1,0,69,10,98,high
2,6,24,0,83,medium
1,0,31,10,69,high
1,3,99,7,19,high
3,5,40,1,93,high
0,7,72,9,22,high
2,6,41,1,25,high
2,1,35,1,16,high
1,7,24,6,96,medium
1,5,112,3,54,high
0,1,114,3,31,high
3,3,18,2,17,high
3,7,45,6,47,high
0,3,70,0,75,low
0,1,49,2,100,low
0,7,88,6,60,medium
0,7,35,5,65,medium
3,7,11,7,86,high
3,7,44,2,92,medium
0,6,74,7,35,high
2,3,25,8,100,medium
0,1,99,4,57,high
1,4,6,2,94,high
2,1,12,6,20,high
2,3,64,6,18,high
3,5,64,1,90,medium
0,7,39,6,71,medium
0,2,34,1,25,medium
1,2,13,6,91,medium
1,5,81,10,19,high
3,0,48,5,72,high
3,4,18,8,28,high
1,5,51,3,16,high
3,4,113,10,83,high
1,3,35,8,87,high
2,6,108,10,19,high
1,2,35,8,18,high
0,5,26,7,65,high
3,3,35,5,12,high
0,0,42,10,77,high
0,4,18,9,93,high
0,0,73,4,78,medium
1,7,43,0,30,low
0,4,88,0,27,medium
0,2,61,2,71,medium
2,3,56,0,15,high
3,4,59,2,58,high
0,2,23,1,50,medium
1,2,87,10,77,high
2,3,17,1,28,medium
3,2,88,6,79,high
2,6,120,3,73,high
3,0,93,1,31,high
2,6,57,7,42,high
1,2,41,10,16,high
0,4,106,8,50,high
3,1,34,10,33,high
3,3,60,6,20,high
0,6,94,7,60,medium
2,2,111,1,61,medium
0,1,111,9,17,high
2,4,15,8,26,high
3,1,109,2,17,high
0,2,18,3,71,low
1,3,72,6,40,high
0,4,112,0,16,medium
2,5,80,8,27,high
3,5,114,3,98,high
0,6,44,0,33,low
1,0,41,3,72,high
3,2,42,9,52,high
1,0,46,3,26,high
0,0,84,5,37,high
1,1,57,8,11,high
2,4,90,0,77,medium
2,7,53,8,40,high
1,6,40,3,55,medium
3,5,27,7,23,high
2,6,68,2,85,medium
1,1,109,1,29,medium
3,6,104,8,61,high
3,7,34,8,89,high
1,0,60,10,74,high
0,3,86,7,64,medium
2,6,76,5,90,high
2,3,12,2,26,high
0,6,73,3,97,low
2,7,9,7,60,high
3,3,18,3,47,high
0,0,80,5,33,high
2,2,16,1,77,medium
0,1,44,4,98,medium
2,3,73,2,72,high
1,4,81,1,12,high
0,3,56,1,52,low
3,1,15,5,76,high
0,2,97,4,46,medium
2,5,115,1,80,high
0,0,108,5,74,medium
3,1,91,1,16,high
2,7,51,0,60,medium
3,0,106,1,25,high
1,3,61,4,54,high
1,1,20,10,44,high
2,0,103,2,83,high
3,3,42,3,89,medium
3,4,113,2,51,high
0,1,47,3,58,medium
2,0,105,7,66,high
0,1,67,3,69,medium
1,5,59,7,67,high
3,6,39,9,81,high
1,1,101,10,99,high
3,2,12,6,85,high
1,2,59,7,22,high
0,2,47,10,53,medium
1,1,68,8,51,high
2,0,34,3,56,high
3,4,82,1,58,high
2,2,49,1,75,high
3,2,26,9,48,high
3,2,27,6,33,high
3,7,85,3,51,medium
2,4,35,3,87,high
1,3,40,3,38,medium
